timestamp_ms,wall_time,voltage_MQ8,voltage_MQ135,voltage_MQ3,voltage_MQ5,voltage_MQ4,voltage_MQ7,voltage_MQ6,voltage_MQ2
182326,2026-07-13T07:09:16.876302+00:00,0,0,0,0,0,0,0,0
182326,2026-07-13T07:09:16.877288+00:00,0,0,0,0,0,0,0,0
183333,2026-07-13T07:09:17.843295+00:00,0,0,0,0,0,0,0,0
183333,2026-07-13T07:09:17.844289+00:00,0,0,0,0,0,0,0,0
184340,2026-07-13T07:09:18.810325+00:00,0,0,0,0,0,0,0,0
184340,2026-07-13T07:09:18.811291+00:00,0,0,0,0,0,0,0,0
185347,2026-07-13T07:09:19.777296+00:00,0,0,0,0,0,0,0,0
185347,2026-07-13T07:09:19.778291+00:00,0,0,0,0,0,0,0,0
186354,2026-07-13T07:09:20.745313+00:00,0,0,0,0,0,0,0,0
186354,2026-07-13T07:09:20.745313+00:00,0,0,0,0,0,0,0,0
187407,2026-07-13T07:09:21.969308+00:00,0,0,0,0,0,0,0,0
187407,2026-07-13T07:09:21.970291+00:00,0,0,0,0,0,0,0,0
188414,2026-07-13T07:09:22.980292+00:00,0,0,0,0,0,0,0,0
188414,2026-07-13T07:09:22.981292+00:00,0,0,0,0,0,0,0,0
189421,2026-07-13T07:09:23.984289+00:00,0,0,0,0,0,0,0,0
189421,2026-07-13T07:09:23.984289+00:00,0,0,0,0,0,0,0,0
190428,2026-07-13T07:09:24.994219+00:00,0,0,0,0,0,0,0,0
190428,2026-07-13T07:09:24.994219+00:00,0,0,0,0,0,0,0,0
191435,2026-07-13T07:09:25.986230+00:00,0,0,0,0,0,0,0,0
191435,2026-07-13T07:09:25.986230+00:00,0,0,0,0,0,0,0,0
192469,2026-07-13T07:09:26.824229+00:00,0,0,0,0,0,0,0,0
192469,2026-07-13T07:09:26.824229+00:00,0,0,0,0,0,0,0,0
193452,2026-07-13T07:09:27.963230+00:00,0,0,0,0,0,0,0,0
193452,2026-07-13T07:09:27.963230+00:00,0,0,0,0,0,0,0,0
194465,2026-07-13T07:09:29.031222+00:00,0,0,0,0,0,0,0,0
194465,2026-07-13T07:09:29.032226+00:00,0,0,0,0,0,0,0,0
195472,2026-07-13T07:09:29.903225+00:00,0,0,0,0,0,0,0,0
195472,2026-07-13T07:09:29.903225+00:00,0,0,0,0,0,0,0,0
196494,2026-07-13T07:09:31.060226+00:00,0,0,0,0,0,0,0,0
196494,2026-07-13T07:09:31.061225+00:00,0,0,0,0,0,0,0,0
197499,2026-07-13T07:09:32.057221+00:00,0,0,0,0,0,0,0,0
197499,2026-07-13T07:09:32.058222+00:00,0,0,0,0,0,0,0,0
198519,2026-07-13T07:09:33.030258+00:00,0,0,0,0,0,0,0,0
198519,2026-07-13T07:09:33.030258+00:00,0,0,0,0,0,0,0,0
199532,2026-07-13T07:09:34.097227+00:00,0,0,0,0,0,0,0,0
199532,2026-07-13T07:09:34.098223+00:00,0,0,0,0,0,0,0,0
200539,2026-07-13T07:09:34.969496+00:00,0,0,0,0,0,0,0,0
200539,2026-07-13T07:09:34.970491+00:00,0,0,0,0,0,0,0,0
201552,2026-07-13T07:09:36.102490+00:00,0,0,0,0,0,0,0,0
201552,2026-07-13T07:09:36.104522+00:00,0,0,0,0,0,0,0,0
202559,2026-07-13T07:09:36.914108+00:00,0,0,0,0,0,0,0,0
202559,2026-07-13T07:09:36.915068+00:00,0,0,0,0,0,0,0,0
203569,2026-07-13T07:09:38.080068+00:00,0,0,0,0,0,0,0,0
203569,2026-07-13T07:09:38.081070+00:00,0,0,0,0,0,0,0,0
204582,2026-07-13T07:09:39.154082+00:00,0,0,0,0,0,0,0,0
204582,2026-07-13T07:09:39.155090+00:00,0,0,0,0,0,0,0,0
205589,2026-07-13T07:09:40.020069+00:00,0,0,0,0,0,0,0,0
205589,2026-07-13T07:09:40.020069+00:00,0,0,0,0,0,0,0,0
206602,2026-07-13T07:09:41.153083+00:00,0,0,0,0,0,0,0,0
206602,2026-07-13T07:09:41.153083+00:00,0,0,0,0,0,0,0,0
207594,2026-07-13T07:09:42.160074+00:00,0,0,0,0,0,0,0,0
207594,2026-07-13T07:09:42.160074+00:00,0,0,0,0,0,0,0,0
208649,2026-07-13T07:09:43.218072+00:00,0,0,0,0,0,0,0,0
208649,2026-07-13T07:09:43.218072+00:00,0,0,0,0,0,0,0,0
209649,2026-07-13T07:09:44.218212+00:00,0,0,0,0,0,0,0,0
209649,2026-07-13T07:09:44.218212+00:00,0,0,0,0,0,0,0,0
210656,2026-07-13T07:09:45.087207+00:00,0,0,0,0,0,0,0,0
210656,2026-07-13T07:09:45.087207+00:00,0,0,0,0,0,0,0,0
211669,2026-07-13T07:09:46.220210+00:00,0,0,0,0,0,0,0,0
211669,2026-07-13T07:09:46.220210+00:00,0,0,0,0,0,0,0,0
212676,2026-07-13T07:09:47.031250+00:00,0,0,0,0,0,0,0,0
212676,2026-07-13T07:09:47.032221+00:00,0,0,0,0,0,0,0,0
213699,2026-07-13T07:09:48.170220+00:00,0,0,0,0,0,0,0,0
213699,2026-07-13T07:09:48.171217+00:00,0,0,0,0,0,0,0,0
214699,2026-07-13T07:09:49.268224+00:00,0,0,0,0,0,0,0,0
214699,2026-07-13T07:09:49.269210+00:00,0,0,0,0,0,0,0,0
215706,2026-07-13T07:09:50.137210+00:00,0,0,0,0,0,0,0,0
215706,2026-07-13T07:09:50.138218+00:00,0,0,0,0,0,0,0,0
216719,2026-07-13T07:09:51.270772+00:00,0,0,0,0,0,0,0,0
216719,2026-07-13T07:09:51.271773+00:00,0,0,0,0,0,0,0,0
217727,2026-07-13T07:09:52.284781+00:00,0,0,0,0,0,0,0,0
217727,2026-07-13T07:09:52.285773+00:00,0,0,0,0,0,0,0,0
218744,2026-07-13T07:09:53.314773+00:00,0,0,0,0,0,0,0,0
218744,2026-07-13T07:09:53.315771+00:00,0,0,0,0,0,0,0,0
219749,2026-07-13T07:09:54.309864+00:00,0,0,0,0,0,0,0,0
219749,2026-07-13T07:09:54.309864+00:00,0,0,0,0,0,0,0,0
220753,2026-07-13T07:09:55.202862+00:00,0,0,0,0,0,0,0,0
220753,2026-07-13T07:09:55.203862+00:00,0,0,0,0,0,0,0,0
221785,2026-07-13T07:09:56.336867+00:00,0,0,0,0,0,0,0,0
221785,2026-07-13T07:09:56.336867+00:00,0,0,0,0,0,0,0,0
222792,2026-07-13T07:09:57.147864+00:00,0,0,0,0,0,0,0,0
222792,2026-07-13T07:09:57.147864+00:00,0,0,0,0,0,0,0,0
223815,2026-07-13T07:09:58.286866+00:00,0,0,0,0,0,0,0,0
223815,2026-07-13T07:09:58.286866+00:00,0,0,0,0,0,0,0,0
224828,2026-07-13T07:09:59.388415+00:00,0,0,0,0,0,0,0,0
224828,2026-07-13T07:09:59.389420+00:00,0,0,0,0,0,0,0,0
225822,2026-07-13T07:10:00.253417+00:00,0,0,0,0,0,0,0,0
225822,2026-07-13T07:10:00.254419+00:00,0,0,0,0,0,0,0,0
226835,2026-07-13T07:10:01.386527+00:00,0,0,0,0,0,0,0,0
226835,2026-07-13T07:10:01.387528+00:00,0,0,0,0,0,0,0,0
227842,2026-07-13T07:10:02.198073+00:00,0,0,0,0,0,0,0,0
227842,2026-07-13T07:10:02.198073+00:00,0,0,0,0,0,0,0,0
