ref,value,sheet,pin,pin_name,pcb_net,schematic_labels
U15,SN74LVC1G06DCKR,Sheet_1,4,Y,PRE,PRE
U15,SN74LVC1G06DCKR,Sheet_1,5,VCC,3V3AON,3V3AON
U16,TPS3839K33DBZR,Sheet_1,1,GND,GND,GND
U16,TPS3839K33DBZR,Sheet_1,2,RESET#,PRE,PRE
U16,TPS3839K33DBZR,Sheet_1,3,VDD,3V3AON,3V3AON
R16,10kΩ,Sheet_1,2,2,VCC,VCC
R16,10kΩ,Sheet_1,1,1,SCL,SCL
R17,10kΩ,Sheet_1,2,2,VCC,VCC
R17,10kΩ,Sheet_1,1,1,SDA,SDA
R18,10kΩ,Sheet_1,2,2,VCC,VCC
R18,10kΩ,Sheet_1,1,1,CFG,CFG
R19,10kΩ,Sheet_1,2,2,VCC,VCC
R19,10kΩ,Sheet_1,1,1,IO0,IO0
R20,10kΩ,Sheet_1,2,2,VCC,VCC
R20,10kΩ,Sheet_1,1,1,RST,RST
C20,100nF,Sheet_1,2,2,VCC,VCC
C20,100nF,Sheet_1,1,1,GND,GND
C21,100nF,Sheet_1,2,2,IO0,IO0
C21,100nF,Sheet_1,1,1,GND,GND
C22,100nF,Sheet_1,2,2,RST,RST
C22,100nF,Sheet_1,1,1,GND,GND
C23,100nF,Sheet_1,2,2,BATMON,BATMON
C23,100nF,Sheet_1,1,1,GND,GND
C6,100nF,Sheet_1,2,2,VBAT,VBAT
C6,100nF,Sheet_1,1,1,GND,GND
C24,100nF,Sheet_1,2,2,VCC,VCC
C24,100nF,Sheet_1,1,1,GND,GND
C25,100nF,Sheet_1,2,2,VCC,VCC
C25,100nF,Sheet_1,1,1,GND,GND
C26,100nF,Sheet_1,2,2,3V3AON,3V3AON
C26,100nF,Sheet_1,1,1,GND,GND
C27,100nF,Sheet_1,2,2,3V3AON,3V3AON
C27,100nF,Sheet_1,1,1,GND,GND
C28,100nF,Sheet_1,2,2,3V3AON,3V3AON
C28,100nF,Sheet_1,1,1,GND,GND
C19,100nF,Sheet_1,2,2,3V3AON,3V3AON
C19,100nF,Sheet_1,1,1,GND,GND
C29,100nF,Sheet_1,2,2,VMID,VMID
C29,100nF,Sheet_1,1,1,GND,GND
C30,100nF,Sheet_1,2,2,+5VA,+5VA
C30,100nF,Sheet_1,1,1,GND,GND
C31,100nF,Sheet_1,2,2,U41_4,
C31,100nF,Sheet_1,1,1,U41_8,
R2,10kΩ,Sheet_1,2,2,R3_1,
R2,10kΩ,Sheet_1,1,1,GND,GND
C32,10uF,Sheet_1,1,1,GND,GND
C32,10uF,Sheet_1,2,2,VCC,VCC
C33,10uF,Sheet_1,1,1,GND,GND
C33,10uF,Sheet_1,2,2,VCC,VCC
C34,10uF,Sheet_1,1,1,GND,GND
C34,10uF,Sheet_1,2,2,VCC,VCC
R21,10kΩ,Sheet_1,2,2,3V3AON,3V3AON
R21,10kΩ,Sheet_1,1,1,CLR,CLR
R15,10kΩ,Sheet_1,2,2,3V3AON,3V3AON
R15,10kΩ,Sheet_1,1,1,PRE,PRE
R22,10kΩ,Sheet_1,2,2,3V3AON,3V3AON
R22,10kΩ,Sheet_1,1,1,U51_2,
C35,10uF,Sheet_1,1,1,GND,GND
C35,10uF,Sheet_1,2,2,+5V,+5V
R23,100kΩ,Sheet_1,2,2,U43_8,
R23,100kΩ,Sheet_1,1,1,VCC,VCC
R24,100kΩ,Sheet_1,2,2,BATMON,BATMON
R24,100kΩ,Sheet_1,1,1,GND,GND
R25,100kΩ,Sheet_1,2,2,VCC,VCC
R25,100kΩ,Sheet_1,1,1,PG24,PG24
C36,10uF,Sheet_1,1,1,GND,GND
C36,10uF,Sheet_1,2,2,VBAT,VBAT
C37,10uF,Sheet_1,1,1,GND,GND
C37,10uF,Sheet_1,2,2,VBAT,VBAT
C10,10uF,Sheet_1,1,1,GND,GND
C10,10uF,Sheet_1,2,2,D13_1,
C9,22uF,Sheet_1,1,1,D13_1,
C9,22uF,Sheet_1,2,2,GND,GND
R26,100kΩ,Sheet_1,2,2,Q3_4,
R26,100kΩ,Sheet_1,1,1,GND,GND
R1,100kΩ,Sheet_1,2,2,Q2_4,
R1,100kΩ,Sheet_1,1,1,GND,GND
R27,100kΩ,Sheet_1,2,2,5VBUCK,5VBUCK
R27,100kΩ,Sheet_1,1,1,U36_7,
R4,100kΩ,Sheet_1,2,2,U1_4,
R4,100kΩ,Sheet_1,1,1,GND,GND
R28,10kΩ,Sheet_1,2,2,+5VA,+5VA
R28,10kΩ,Sheet_1,1,1,U3_3,
R29,10kΩ,Sheet_1,2,2,U3_3,
R29,10kΩ,Sheet_1,1,1,GND,GND
R7,10kΩ,Sheet_1,2,2,U1_8,
R7,10kΩ,Sheet_1,1,1,C8_2,
R30,100kΩ,Sheet_1,2,2,U41_19,
R30,100kΩ,Sheet_1,1,1,GND,GND
R5,1kΩ,Sheet_1,2,2,U1_4,
R5,1kΩ,Sheet_1,1,1,EN_BOOST,EN_BOOST
R31,1kΩ,Sheet_1,2,2,LED1_2,
R31,1kΩ,Sheet_1,1,1,LED,LED
R32,200kΩ,Sheet_1,2,2,VBAT_IN,VBAT_IN
R32,200kΩ,Sheet_1,1,1,BATMON,BATMON
C16,10uF,Sheet_1,1,1,GND,GND
C16,10uF,Sheet_1,2,2,+5V,+5V
C17,10uF,Sheet_1,1,1,GND,GND
C17,10uF,Sheet_1,2,2,5VBUCK,5VBUCK
C18,10uF,Sheet_1,1,1,GND,GND
C18,10uF,Sheet_1,2,2,5VBOOST,5VBOOST
C38,10uF,Sheet_1,1,1,GND,GND
C38,10uF,Sheet_1,2,2,VMID,VMID
R12,100kΩ,Sheet_1,2,2,VCC,VCC
R12,100kΩ,Sheet_1,1,1,ST_P,ST_P
C39,22uF,Sheet_1,1,1,GND,GND
C39,22uF,Sheet_1,2,2,VCC,VCC
C40,22uF,Sheet_1,1,1,GND,GND
C40,22uF,Sheet_1,2,2,VCC,VCC
C62,22uF,Sheet_1,1,1,GND,GND
C62,22uF,Sheet_1,2,2,D10_3,
C63,22uF,Sheet_1,1,1,GND,GND
C63,22uF,Sheet_1,2,2,3V3AON,3V3AON
R33,0Ω,Sheet_1,2,2,D10_3,
R33,0Ω,Sheet_1,1,1,U42_3,
C64,22uF,Sheet_1,1,1,GND,GND
C64,22uF,Sheet_1,2,2,5VBOOST,5VBOOST
C67,22uF,Sheet_1,1,1,GND,GND
C67,22uF,Sheet_1,2,2,5VBOOST,5VBOOST
C68,22uF,Sheet_1,1,1,GND,GND
C68,22uF,Sheet_1,2,2,5VBOOST,5VBOOST
C71,1uF,Sheet_1,1,1,GND,GND
C71,1uF,Sheet_1,2,2,5VBOOST,5VBOOST
C5,22uF,Sheet_1,1,1,GND,GND
C5,22uF,Sheet_1,2,2,VBAT,VBAT
C74,2.2uF,Sheet_1,2,2,U41_1,
C74,2.2uF,Sheet_1,1,1,GND,GND
R34,255kΩ,Sheet_1,2,2,U41_3,
R34,255kΩ,Sheet_1,1,1,U41_4,
C75,47nF,Sheet_1,1,1,GND,GND
C75,47nF,Sheet_1,2,2,U41_10,
R35,43kΩ,Sheet_1,2,2,R35_2,
R35,43kΩ,Sheet_1,1,1,GND,GND
R36,56kΩ,Sheet_1,2,2,R36_2,
R36,56kΩ,Sheet_1,1,1,GND,GND
R37,0Ω,Sheet_1,2,2,U46_3,
R37,0Ω,Sheet_1,1,1,R92_2,
R38,0Ω,Sheet_1,2,2,U46_3,
R38,0Ω,Sheet_1,1,1,R35_2,
R39,0Ω,Sheet_1,2,2,U46_3,
R39,0Ω,Sheet_1,1,1,R36_2,
R40,100kΩ,Sheet_1,2,2,U41_18,
R40,100kΩ,Sheet_1,1,1,R40_1,
C76,47nF,Sheet_1,1,1,GND,GND
C76,47nF,Sheet_1,2,2,R40_1,
C77,4.7nF,Sheet_1,1,1,U41_18,
C77,4.7nF,Sheet_1,2,2,GND,GND
J2,ALARM,Sheet_1,1,1,+24V,+24V
J2,ALARM,Sheet_1,2,2,J2_2,
Q4,AO3400A,Sheet_1,3,D,J2_2,
Q4,AO3400A,Sheet_1,1,G,Q4_1,
Q4,AO3400A,Sheet_1,2,S,GND,GND
R41,100kΩ,Sheet_1,2,2,Q4_1,
R41,100kΩ,Sheet_1,1,1,GND,GND
R94,100Ω,Sheet_1,2,2,Q4_1,
R94,100Ω,Sheet_1,1,1,ALARM,ALARM
D8,SS14,Sheet_1,2,A,J2_2,
D8,SS14,Sheet_1,1,K,+24V,+24V
C85,10uF,Sheet_1,1,1,GND,GND
C85,10uF,Sheet_1,2,2,+24V,+24V
C84,100nF,Sheet_1,2,2,+24V,+24V
C84,100nF,Sheet_1,1,1,GND,GND
H2,X1321WVS-2X04J-C40D53,Sheet_1,1,1,GND,GND
H2,X1321WVS-2X04J-C40D53,Sheet_1,8,8,VMID,VMID
H2,X1321WVS-2X04J-C40D53,Sheet_1,3,3,AIN0,AIN0
H2,X1321WVS-2X04J-C40D53,Sheet_1,6,6,SDA7,SDA7
H2,X1321WVS-2X04J-C40D53,Sheet_1,5,5,GND,GND
H2,X1321WVS-2X04J-C40D53,Sheet_1,4,4,SCL7,SCL7
H2,X1321WVS-2X04J-C40D53,Sheet_1,7,7,EN0,EN0
H2,X1321WVS-2X04J-C40D53,Sheet_1,2,2,+5V,+5V
H1,X1321WVS-2X04J-C40D53,Sheet_1,1,1,GND,GND
H1,X1321WVS-2X04J-C40D53,Sheet_1,8,8,VMID,VMID
H1,X1321WVS-2X04J-C40D53,Sheet_1,3,3,AIN1,AIN1
H1,X1321WVS-2X04J-C40D53,Sheet_1,6,6,SDA6,SDA6
H1,X1321WVS-2X04J-C40D53,Sheet_1,5,5,GND,GND
H1,X1321WVS-2X04J-C40D53,Sheet_1,4,4,SCL6,SCL6
H1,X1321WVS-2X04J-C40D53,Sheet_1,7,7,EN6,EN6
H1,X1321WVS-2X04J-C40D53,Sheet_1,2,2,+5V,+5V
H3,X1321WVS-2X04J-C40D53,Sheet_1,1,1,GND,GND
H3,X1321WVS-2X04J-C40D53,Sheet_1,8,8,VMID,VMID
H3,X1321WVS-2X04J-C40D53,Sheet_1,3,3,AIN2,AIN2
H3,X1321WVS-2X04J-C40D53,Sheet_1,6,6,SDA5,SDA5
H3,X1321WVS-2X04J-C40D53,Sheet_1,5,5,GND,GND
H3,X1321WVS-2X04J-C40D53,Sheet_1,4,4,SCL5,SCL5
H3,X1321WVS-2X04J-C40D53,Sheet_1,7,7,EN7,EN7
H3,X1321WVS-2X04J-C40D53,Sheet_1,2,2,+5V,+5V
H4,X1321WVS-2X04J-C40D53,Sheet_1,1,1,GND,GND
H4,X1321WVS-2X04J-C40D53,Sheet_1,8,8,VMID,VMID
H4,X1321WVS-2X04J-C40D53,Sheet_1,3,3,AIN3,AIN3
H4,X1321WVS-2X04J-C40D53,Sheet_1,6,6,SDA4,SDA4
H4,X1321WVS-2X04J-C40D53,Sheet_1,5,5,GND,GND
H4,X1321WVS-2X04J-C40D53,Sheet_1,4,4,SCL4,SCL4
H4,X1321WVS-2X04J-C40D53,Sheet_1,7,7,EN3,EN3
H4,X1321WVS-2X04J-C40D53,Sheet_1,2,2,+5V,+5V
H5,X1321WVS-2X04J-C40D53,Sheet_1,1,1,GND,GND
H5,X1321WVS-2X04J-C40D53,Sheet_1,8,8,VMID,VMID
H5,X1321WVS-2X04J-C40D53,Sheet_1,3,3,AIN4,AIN4
H5,X1321WVS-2X04J-C40D53,Sheet_1,6,6,SDA3,SDA3
H5,X1321WVS-2X04J-C40D53,Sheet_1,5,5,GND,GND
H5,X1321WVS-2X04J-C40D53,Sheet_1,4,4,SCL3,SCL3
H5,X1321WVS-2X04J-C40D53,Sheet_1,7,7,EN4,EN4
H5,X1321WVS-2X04J-C40D53,Sheet_1,2,2,+5V,+5V
H6,X1321WVS-2X04J-C40D53,Sheet_1,1,1,GND,GND
H6,X1321WVS-2X04J-C40D53,Sheet_1,8,8,VMID,VMID
H6,X1321WVS-2X04J-C40D53,Sheet_1,3,3,AIN5,AIN5
H6,X1321WVS-2X04J-C40D53,Sheet_1,6,6,SDA2,SDA2
H6,X1321WVS-2X04J-C40D53,Sheet_1,5,5,GND,GND
H6,X1321WVS-2X04J-C40D53,Sheet_1,4,4,SCL2,SCL2
H6,X1321WVS-2X04J-C40D53,Sheet_1,7,7,EN5,EN5
H6,X1321WVS-2X04J-C40D53,Sheet_1,2,2,+5V,+5V
H7,X1321WVS-2X04J-C40D53,Sheet_1,1,1,GND,GND
H7,X1321WVS-2X04J-C40D53,Sheet_1,8,8,VMID,VMID
H7,X1321WVS-2X04J-C40D53,Sheet_1,3,3,AIN6,AIN6
H7,X1321WVS-2X04J-C40D53,Sheet_1,6,6,SDA1,SDA1
H7,X1321WVS-2X04J-C40D53,Sheet_1,5,5,GND,GND
H7,X1321WVS-2X04J-C40D53,Sheet_1,4,4,SCL1,SCL1
H7,X1321WVS-2X04J-C40D53,Sheet_1,7,7,EN2,EN2
H7,X1321WVS-2X04J-C40D53,Sheet_1,2,2,+5V,+5V
H8,X1321WVS-2X04J-C40D53,Sheet_1,1,1,GND,GND
H8,X1321WVS-2X04J-C40D53,Sheet_1,8,8,VMID,VMID
H8,X1321WVS-2X04J-C40D53,Sheet_1,3,3,AIN7,AIN7
H8,X1321WVS-2X04J-C40D53,Sheet_1,6,6,SDA0,SDA0
H8,X1321WVS-2X04J-C40D53,Sheet_1,5,5,GND,GND
H8,X1321WVS-2X04J-C40D53,Sheet_1,4,4,SCL0,SCL0
H8,X1321WVS-2X04J-C40D53,Sheet_1,7,7,EN1,EN1
H8,X1321WVS-2X04J-C40D53,Sheet_1,2,2,+5V,+5V
